CustomerID,Gender,Age,Annual Income (₦),Spending Score (1–100),Marital Status,Profession,Membership Duration (Years),Mall Branch,City Type,Frequency of Visits/Month,Average Transaction Value (₦),Loyalty Card Holder (Yes/No),Preferred Payment Method
64,Male,34,4420981,81,Widowed,Unemployed,9.5,B,Rural,7,21092,No,POS
65,Male,61,2209373,78,Widowed,Banker,5.7,A,Suburban,15,40100,No,POS
66,Female,18,2689325,51,Divorced,Engineer,2.0,C,Rural,1,54668,No,POS
67,Female,20,4485879,10,Married,Unemployed,5.8,A,Suburban,7,23614,Yes,Bank App
68,Male,63,1517597,44,Single,Banker,4.8,A,Rural,21,51222,Yes,POS
69,Female,43,1976825,40,Divorced,Doctor,3.8,B,Suburban,11,32454,No,Cash
70,Female,48,3329378,93,Single,Engineer,5.0,A,Urban,18,59017,Yes,Transfer
71,Female,25,2579712,60,Married,Doctor,6.9,A,Rural,11,59523,Yes,Bank App
72,Female,60,1684210,70,Single,Student,2.4,C,Urban,21,76596,No,Transfer
73,Male,63,4060874,31,Single,Unemployed,5.6,B,Suburban,19,57448,Yes,Cash
74,Female,25,3776756,37,Widowed,Lawyer,8.2,A,Rural,13,28192,Yes,Transfer
75,Male,52,4248266,73,Divorced,Banker,2.6,C,Suburban,19,38877,No,Transfer
76,Female,56,2770046,58,Single,Student,5.4,A,Urban,27,24325,No,Cash
77,Female,45,358669,43,Single,Banker,9.7,C,Suburban,12,57636,No,Cash
78,Female,68,3016131,97,Divorced,Unemployed,8.1,B,Suburban,2,40593,Yes,Bank App
79,Male,21,1242303,71,Divorced,Student,6.1,C,Urban,6,50410,No,POS
80,Female,33,-40386,38,Married,Student,7.6,A,Rural,7,46847,No,Cash
81,Male,30,2587929,8,Divorced,Engineer,5.5,C,Suburban,14,24247,Yes,Transfer
82,Female,37,3152644,34,Single,Unemployed,9.9,A,Suburban,16,56151,No,Cash
83,Male,68,5397416,17,Widowed,Unemployed,2.1,A,Rural,25,67074,No,Bank App
84,Female,22,1191593,17,Married,Student,7.3,C,Rural,20,35587,Yes,POS
85,Male,54,4015579,94,Divorced,Doctor,0.6,A,Urban,7,43738,No,Transfer
86,Male,37,601623,82,Divorced,Banker,1.7,B,Suburban,15,64273,Yes,Transfer
87,Female,41,4905167,53,Divorced,Doctor,7.4,C,Urban,29,35344,Yes,POS
88,Male,53,1949031,15,Married,Business Owner,7.7,A,Suburban,24,47842,Yes,Bank App
89,Female,51,2497753,64,Married,Banker,0.9,C,Rural,21,58704,No,Bank App
90,Female,62,2516971,57,Divorced,Business Owner,3.7,B,Rural,1,69135,Yes,Transfer
91,Female,65,4138438,20,Married,Doctor,1.6,C,Suburban,20,53237,Yes,Cash
92,Female,51,824289,61,Widowed,Banker,9.0,C,Rural,12,34836,No,Bank App
93,Female,36,2733892,25,Single,Business Owner,4.8,A,Suburban,26,55518,No,Transfer
94,Female,34,2038028,78,Widowed,Doctor,4.7,C,Rural,16,40976,No,Transfer
95,Female,22,6297071,27,Single,Business Owner,8.3,C,Suburban,6,48039,No,Bank App
96,Female,42,1372532,47,Married,Student,7.1,A,Rural,8,28114,Yes,Transfer
97,Female,35,-873096,99,Divorced,Teacher,9.3,B,Rural,7,32493,No,Cash
98,Female,67,5541893,28,Married,Business Owner,9.4,C,Suburban,4,61491,No,Bank App
99,Female,25,3737008,6,Widowed,Lawyer,3.5,B,Rural,28,54782,Yes,Bank App
100,Male,44,1818937,41,Widowed,Teacher,6.7,B,Suburban,5,42531,No,POS
101,Male,32,2951684,59,Married,Engineer,5.6,A,Rural,2,33124,No,Bank App
102,Female,62,1798509,95,Divorced,Banker,6.2,C,Rural,18,74574,Yes,Transfer
103,Female,30,64503,78,Divorced,Unemployed,6.4,A,Suburban,24,60078,No,POS
104,Female,33,2753588,61,Single,Unemployed,1.1,B,Suburban,4,92806,Yes,Transfer
105,Female,39,2742847,80,Widowed,Student,9.0,A,Urban,6,33718,No,Cash
106,Female,37,3509020,49,Single,Teacher,1.8,C,Urban,24,22531,No,Bank App
107,Female,30,1540506,100,Married,Student,4.5,A,Rural,12,57375,No,Transfer
108,Female,37,1837909,5,Single,Doctor,3.3,B,Urban,17,47362,No,Transfer
109,Female,19,2435150,96,Divorced,Engineer,5.8,B,Rural,28,46063,No,POS
110,Male,52,1528729,11,Widowed,Teacher,9.6,C,Urban,30,28221,No,Bank App
111,Female,64,4705144,86,Divorced,Lawyer,4.4,C,Urban,19,50520,No,Cash
112,Male,36,4273683,40,Single,Doctor,6.2,B,Suburban,22,38000,Yes,Bank App
113,Female,62,2226172,92,Married,Business Owner,1.8,B,Rural,29,30659,Yes,Bank App
114,Female,54,3801875,70,Single,Unemployed,4.9,C,Suburban,19,38065,Yes,POS
115,Male,23,1142569,39,Divorced,Doctor,9.2,A,Suburban,22,19792,No,Transfer
116,Female,31,2307972,70,Widowed,Business Owner,9.4,C,Urban,26,68921,No,Cash
117,Male,21,5195367,20,Single,Business Owner,5.7,A,Suburban,24,48131,Yes,Cash
118,Female,39,3968811,4,Widowed,Banker,7.8,A,Urban,16,47454,No,POS
119,Female,68,3433623,89,Widowed,Engineer,0.5,C,Urban,21,75630,No,Cash
120,Male,56,2462178,13,Single,Business Owner,5.5,C,Rural,11,38584,No,Transfer
121,Female,53,2937093,49,Divorced,Doctor,7.5,C,Rural,4,28143,No,Bank App
122,Male,51,797417,76,Married,Unemployed,3.6,A,Rural,19,61050,Yes,POS
123,Female,44,2514919,9,Divorced,Doctor,9.1,A,Suburban,19,27735,No,Cash
124,Male,24,3564046,59,Single,Business Owner,7.9,C,Rural,4,7368,No,Transfer
125,Male,20,2960367,3,Widowed,Teacher,7.8,A,Suburban,15,61881,Yes,Transfer
126,Female,64,2960377,96,Divorced,Doctor,0.7,A,Rural,6,54200,Yes,Transfer
127,Female,50,2018404,11,Married,Unemployed,2.2,A,Urban,30,42176,Yes,Cash
128,Male,19,1638378,5,Widowed,Engineer,7.3,C,Suburban,21,24876,Yes,Cash
129,Female,59,1501162,35,Married,Business Owner,5.8,B,Rural,1,60513,No,Bank App
130,Female,33,2622179,24,Widowed,Student,6.0,C,Rural,30,40349,Yes,Bank App
131,Female,42,4101365,70,Married,Engineer,0.6,A,Suburban,4,65104,No,Transfer
132,Male,32,1712199,82,Married,Unemployed,4.7,A,Urban,16,60952,No,POS
133,Male,41,3061141,6,Single,Engineer,8.0,A,Suburban,28,33661,No,Cash
134,Male,32,3023219,86,Single,Student,6.8,C,Rural,29,23882,No,Cash
135,Male,48,4395194,42,Widowed,Teacher,5.9,A,Rural,26,58304,No,POS
136,Male,31,3020072,43,Single,Lawyer,7.1,A,Rural,30,57130,Yes,POS
137,Male,31,768225,14,Single,Banker,8.6,B,Urban,20,56447,Yes,Cash
138,Male,23,6187315,76,Married,Banker,8.6,B,Rural,1,49608,No,POS
139,Male,31,4457536,25,Widowed,Unemployed,4.8,A,Suburban,17,69283,Yes,POS
140,Male,34,3724786,84,Married,Business Owner,3.4,C,Rural,4,113621,Yes,Transfer
141,Female,35,2136754,18,Single,Business Owner,4.0,A,Urban,4,83781,Yes,Bank App
142,Male,37,2521605,24,Single,Lawyer,5.5,A,Urban,4,55188,No,Bank App
143,Female,68,866418,63,Divorced,Engineer,1.3,A,Suburban,20,65452,No,POS
144,Female,34,2499400,79,Married,Teacher,6.1,B,Rural,18,45309,No,Bank App
145,Female,33,3263544,95,Single,Unemployed,4.8,C,Rural,7,6633,No,Cash
146,Male,57,2962184,1,Widowed,Unemployed,7.7,C,Urban,4,80690,No,Transfer
147,Male,56,5628835,15,Widowed,Teacher,3.1,B,Urban,13,36142,Yes,Bank App
148,Male,69,4006480,54,Single,Banker,1.1,B,Suburban,13,23583,No,Bank App
149,Male,49,4460404,34,Single,Teacher,9.0,B,Suburban,26,71378,Yes,Cash
150,Female,61,3810248,52,Single,Teacher,1.1,B,Rural,19,97836,Yes,POS
151,Male,26,3243958,2,Widowed,Engineer,9.3,B,Suburban,26,59809,No,Bank App
152,Male,44,3682220,36,Single,Banker,5.2,C,Suburban,20,45401,Yes,POS
153,Male,63,23812,23,Married,Business Owner,1.0,C,Urban,19,71149,Yes,Transfer
154,Male,69,2609446,24,Divorced,Doctor,1.7,B,Urban,27,56929,No,POS
155,Male,50,903346,32,Divorced,Business Owner,5.6,B,Urban,9,24008,Yes,Cash
156,Female,27,1230077,51,Divorced,Banker,0.6,C,Suburban,21,29622,No,Transfer
157,Male,34,4790434,46,Married,Lawyer,9.2,C,Urban,30,40243,Yes,Bank App
158,Female,66,1385187,13,Single,Lawyer,8.1,C,Urban,16,57610,Yes,Cash
159,Male,66,1014514,97,Divorced,Business Owner,5.3,B,Suburban,26,66010,Yes,Cash
160,Female,53,3584369,14,Widowed,Student,9.3,C,Urban,6,42388,Yes,Bank App
161,Male,34,2896981,17,Single,Unemployed,3.0,C,Urban,30,70797,Yes,POS
162,Male,35,3669396,16,Widowed,Engineer,8.6,B,Rural,26,78720,No,Bank App
163,Female,69,5633858,32,Divorced,Lawyer,8.1,B,Suburban,2,46881,No,Transfer
164,Female,40,3859138,79,Married,Unemployed,6.0,B,Rural,20,21796,No,Transfer
165,Female,51,674085,95,Divorced,Engineer,3.5,A,Urban,28,64493,No,Bank App
166,Male,25,4399345,12,Divorced,Business Owner,5.8,C,Rural,23,86111,No,Transfer
167,Female,30,2670113,97,Single,Engineer,9.6,A,Urban,9,40971,Yes,POS
168,Male,40,3251917,3,Single,Business Owner,1.3,A,Suburban,30,83562,Yes,Transfer
169,Male,37,519884,75,Divorced,Teacher,2.4,B,Urban,26,38165,Yes,Cash
170,Female,39,3754877,53,Married,Student,6.6,C,Urban,11,47074,Yes,Cash
171,Female,64,1047787,43,Widowed,Engineer,6.9,C,Urban,24,74884,No,Bank App
172,Male,69,3801374,5,Widowed,Business Owner,2.1,B,Suburban,29,44794,Yes,Cash
173,Male,40,1915702,47,Married,Lawyer,8.2,C,Rural,24,22556,Yes,POS
174,Female,58,4083246,27,Single,Lawyer,9.3,A,Rural,12,63842,No,Bank App
175,Female,52,1057417,52,Divorced,Unemployed,1.3,C,Suburban,3,24741,No,POS
176,Female,20,658847,56,Divorced,Student,9.8,C,Suburban,24,68636,Yes,Bank App
177,Male,51,2187917,80,Divorced,Engineer,3.2,B,Rural,9,65627,Yes,Bank App
178,Male,50,3399479,99,Widowed,Teacher,3.4,A,Rural,22,79613,No,Bank App
179,Male,63,1282263,80,Married,Student,0.9,A,Rural,26,32267,No,Transfer
180,Male,34,3305746,80,Married,Banker,5.2,B,Urban,25,32595,No,Bank App
181,Male,62,4311609,86,Divorced,Engineer,9.6,B,Urban,22,49836,Yes,Cash
182,Male,36,1014590,68,Divorced,Student,2.0,C,Urban,24,41578,No,Cash
183,Female,47,3308060,96,Married,Teacher,6.0,B,Urban,24,17582,Yes,POS
184,Male,40,3809675,91,Widowed,Doctor,3.1,C,Suburban,27,44244,Yes,Transfer
185,Male,32,2710681,15,Single,Unemployed,0.7,C,Suburban,9,50927,Yes,POS
186,Male,31,2876274,19,Divorced,Doctor,9.9,B,Urban,23,60194,No,Cash
187,Female,19,886656,26,Married,Doctor,7.3,B,Urban,23,54111,No,POS
188,Male,56,3656183,79,Widowed,Teacher,7.5,C,Urban,20,45837,Yes,POS
189,Male,66,3091819,45,Single,Banker,6.8,A,Rural,27,81478,Yes,Bank App
190,Female,35,3225999,10,Married,Banker,1.9,A,Suburban,27,43090,No,Cash
191,Male,23,6097011,98,Divorced,Teacher,2.5,C,Suburban,29,37445,Yes,Cash
192,Male,49,2690001,26,Married,Unemployed,4.2,B,Rural,29,45938,Yes,POS
193,Male,38,3483981,8,Widowed,Banker,10.0,A,Suburban,4,61402,No,Bank App
194,Male,57,4932168,80,Divorced,Student,6.9,B,Suburban,20,40541,Yes,Bank App
195,Male,45,2927559,93,Married,Business Owner,4.7,B,Suburban,15,60630,Yes,Cash
196,Female,44,1925133,32,Married,Lawyer,5.1,B,Rural,7,60877,No,POS
197,Female,19,3597567,21,Divorced,Teacher,9.3,A,Rural,20,37033,No,Transfer
198,Female,50,1972489,96,Divorced,Teacher,2.4,A,Suburban,9,40471,No,Bank App
199,Male,33,4799010,45,Widowed,Doctor,3.5,B,Rural,16,87597,Yes,Bank App
200,Male,56,3772078,55,Divorced,Doctor,4.0,C,Rural,29,52446,No,POS
201,Male,39,1708407,12,Widowed,Business Owner,9.0,B,Rural,11,-1933,No,Bank App
202,Female,60,1129233,48,Married,Doctor,7.9,B,Urban,2,35258,No,Transfer
203,Male,64,3234523,59,Divorced,Lawyer,6.1,C,Suburban,24,62043,Yes,POS
204,Male,30,3383247,74,Widowed,Doctor,3.5,A,Urban,2,49017,No,POS
205,Female,19,1132875,70,Married,Doctor,2.4,C,Urban,9,49999,Yes,Cash
206,Male,31,4178616,37,Single,Business Owner,3.6,C,Rural,26,64205,Yes,POS
207,Female,55,3997875,82,Married,Banker,9.3,C,Suburban,25,33990,Yes,POS
208,Female,58,3512344,31,Divorced,Unemployed,9.1,B,Suburban,12,53028,No,Transfer
209,Female,45,4136711,99,Widowed,Banker,4.5,A,Urban,22,46337,No,POS
210,Male,24,1515429,3,Single,Lawyer,3.6,A,Rural,5,54556,Yes,Cash
211,Male,35,1602847,69,Widowed,Banker,8.9,C,Urban,20,42714,No,Transfer
212,Male,58,2610406,98,Widowed,Doctor,4.7,A,Suburban,25,43487,No,Bank App
213,Male,53,2048336,59,Single,Banker,0.9,C,Urban,16,59206,No,Cash
214,Male,58,3753240,33,Single,Student,3.8,C,Urban,7,31439,Yes,Cash
215,Male,53,4208274,36,Widowed,Unemployed,6.3,B,Suburban,11,38213,No,POS
216,Male,61,1944769,74,Divorced,Student,9.5,A,Urban,8,81839,No,Transfer
217,Female,21,1698293,3,Single,Unemployed,4.5,C,Rural,19,60429,No,Bank App
218,Male,47,4282196,75,Divorced,Engineer,2.8,A,Urban,20,67504,No,Cash
219,Female,41,1527015,3,Single,Student,4.2,A,Urban,26,50994,Yes,Bank App
220,Male,37,2571664,92,Widowed,Unemployed,1.0,A,Suburban,14,52961,Yes,Cash
221,Male,63,1485179,59,Single,Lawyer,9.0,C,Urban,27,33615,Yes,Bank App
222,Male,48,2112212,54,Widowed,Doctor,0.8,B,Urban,17,55324,No,Bank App
223,Female,41,740429,28,Single,Engineer,0.5,C,Urban,18,55367,No,Cash
224,Female,24,4923262,9,Single,Banker,6.3,B,Suburban,17,66845,No,POS
225,Female,43,4518463,26,Single,Teacher,2.0,A,Suburban,12,44679,Yes,Transfer
226,Female,30,1789444,29,Married,Business Owner,3.3,A,Rural,16,49710,No,Cash
227,Male,25,3694589,10,Single,Business Owner,5.2,A,Rural,2,103307,Yes,Transfer
228,Female,22,846422,27,Married,Teacher,8.0,A,Rural,15,50774,No,Cash
229,Male,61,3932637,63,Divorced,Student,4.2,B,Suburban,24,33415,Yes,Cash
230,Male,30,1673962,62,Divorced,Engineer,9.6,C,Urban,3,60613,No,Cash
231,Female,46,4826364,96,Single,Teacher,4.8,B,Suburban,6,53099,Yes,POS
232,Female,37,3766442,18,Divorced,Teacher,9.2,C,Suburban,8,32477,Yes,Cash
233,Female,31,2451675,53,Single,Teacher,4.8,A,Urban,11,58371,No,Cash
234,Female,49,2387704,82,Married,Student,5.4,A,Rural,16,70308,No,Transfer
235,Female,67,3216728,86,Divorced,Student,9.6,C,Urban,16,36657,No,Bank App
236,Female,44,1614118,17,Widowed,Engineer,6.9,A,Urban,29,75240,Yes,Bank App
237,Female,42,4687364,49,Single,Student,1.9,B,Suburban,20,37157,No,Bank App
238,Female,69,3458973,89,Single,Student,6.2,C,Urban,16,33632,No,Transfer
239,Male,21,4446544,26,Divorced,Lawyer,2.6,C,Rural,10,52655,No,Transfer
240,Female,38,-674429,5,Divorced,Student,3.4,C,Urban,29,64651,Yes,POS
241,Female,35,3024118,73,Divorced,Engineer,8.5,B,Rural,23,66876,No,Transfer
242,Male,56,3372096,44,Single,Student,7.0,C,Rural,1,56304,No,Transfer
243,Female,32,2994810,24,Widowed,Business Owner,3.2,C,Urban,20,27333,No,Transfer
244,Male,55,3033753,57,Single,Business Owner,0.5,A,Rural,30,32281,No,Cash
245,Male,65,2518301,7,Single,Student,5.5,C,Rural,19,43303,Yes,Bank App
246,Female,69,6386052,20,Married,Lawyer,2.9,B,Urban,9,60887,Yes,POS
247,Male,41,3364886,56,Single,Business Owner,0.8,B,Suburban,1,42153,No,Transfer
248,Male,25,3183710,72,Single,Engineer,1.1,A,Urban,25,69703,Yes,Cash
249,Male,45,4404857,19,Single,Business Owner,6.9,B,Rural,17,87947,No,POS
250,Male,38,2161422,99,Widowed,Teacher,4.4,A,Suburban,4,31301,No,POS
251,Female,33,1068325,64,Divorced,Lawyer,3.0,A,Rural,5,51007,No,Transfer
252,Male,33,4360768,43,Single,Banker,8.9,B,Rural,8,61674,Yes,POS
253,Female,52,2499737,44,Married,Banker,8.3,C,Rural,20,66673,Yes,Cash
254,Male,34,5041085,25,Married,Student,4.9,B,Urban,7,54412,No,POS
255,Male,26,4947016,17,Divorced,Doctor,3.1,B,Suburban,7,47732,No,POS
256,Male,52,-483969,39,Married,Banker,5.3,B,Suburban,7,18707,No,POS
257,Male,69,3108500,25,Married,Lawyer,7.7,A,Rural,6,41945,Yes,Bank App
258,Female,46,4614909,99,Widowed,Banker,0.6,A,Urban,30,62169,Yes,POS
259,Female,56,367111,39,Single,Lawyer,6.3,B,Suburban,11,77005,No,Transfer
260,Male,35,3549089,39,Single,Engineer,7.2,B,Suburban,7,27575,Yes,Bank App
261,Male,29,3986846,59,Single,Teacher,8.3,A,Rural,6,75192,Yes,Transfer
262,Female,36,2917849,66,Single,Teacher,2.6,B,Suburban,2,70093,No,POS
263,Male,65,2928684,16,Single,Teacher,2.4,B,Rural,11,53809,No,POS
264,Male,39,4797471,53,Married,Lawyer,2.5,A,Urban,26,34270,Yes,Transfer
265,Male,66,758208,78,Widowed,Doctor,9.3,B,Suburban,11,77975,No,Bank App
266,Female,69,4246664,29,Single,Engineer,1.8,A,Rural,24,48213,No,Bank App
267,Female,32,3688914,66,Married,Doctor,7.8,C,Rural,29,59494,No,POS
268,Female,18,4952577,10,Divorced,Teacher,9.9,C,Suburban,6,33839,Yes,Transfer
269,Male,19,1577788,2,Married,Lawyer,9.5,A,Urban,14,21283,Yes,Cash
270,Male,25,5215069,91,Widowed,Teacher,4.4,B,Rural,19,63452,No,Bank App
271,Female,39,917356,13,Single,Banker,8.5,C,Urban,18,57858,No,Cash
272,Female,42,2504399,54,Single,Doctor,6.9,B,Rural,20,59194,No,Transfer
273,Female,19,1255223,2,Single,Teacher,8.8,B,Urban,24,28596,Yes,Bank App
274,Female,68,4087102,42,Widowed,Student,2.0,B,Suburban,2,65691,Yes,Bank App
275,Male,26,1857100,14,Divorced,Engineer,7.8,A,Suburban,22,64507,Yes,POS
276,Female,26,4702083,81,Divorced,Doctor,6.1,C,Rural,8,99721,No,POS
277,Male,30,467833,51,Married,Student,5.6,C,Urban,15,44779,Yes,POS
278,Female,23,2332105,49,Married,Teacher,7.4,B,Rural,29,15827,Yes,Bank App
279,Male,47,5678951,38,Single,Engineer,3.1,B,Rural,23,41235,Yes,Transfer
280,Female,32,1858932,100,Single,Engineer,1.2,A,Suburban,7,42135,No,Transfer
281,Female,68,4589010,34,Single,Engineer,5.3,C,Rural,26,52251,No,Transfer
282,Female,32,4044464,29,Married,Lawyer,3.4,C,Rural,1,63389,Yes,POS
283,Female,67,1038816,64,Single,Engineer,2.9,A,Suburban,26,39018,Yes,POS
284,Male,24,3317049,23,Married,Student,10.0,B,Urban,2,71153,No,Cash
285,Female,28,5293015,23,Married,Doctor,2.4,C,Urban,11,50067,No,POS
286,Male,57,2385009,16,Widowed,Student,2.7,B,Rural,24,7462,No,Transfer
287,Male,55,1965096,44,Single,Teacher,3.7,B,Rural,27,49099,No,Cash
288,Male,57,3492690,60,Single,Lawyer,5.2,C,Rural,23,37523,No,Transfer
289,Male,19,2677843,71,Married,Lawyer,8.8,C,Suburban,23,52650,No,Transfer
290,Female,68,756052,65,Married,Teacher,2.2,C,Rural,20,70931,No,POS
291,Male,65,2667290,19,Married,Doctor,6.4,C,Rural,25,26560,No,Transfer
292,Male,56,2272033,45,Widowed,Lawyer,4.0,C,Suburban,22,46683,No,POS
293,Male,27,2798935,97,Widowed,Teacher,8.1,B,Urban,12,82759,No,Transfer
294,Female,61,-605018,98,Married,Teacher,6.2,C,Rural,23,42256,Yes,Cash
295,Female,34,3546488,1,Widowed,Unemployed,8.1,A,Rural,1,37232,No,Bank App
296,Female,24,549089,12,Widowed,Unemployed,8.6,A,Urban,10,87353,Yes,POS
297,Female,57,4120039,25,Divorced,Teacher,9.2,A,Urban,25,60010,No,Bank App
298,Male,56,4608162,87,Single,Unemployed,10.0,C,Urban,21,78462,No,Transfer
299,Male,21,21587,89,Married,Banker,6.4,A,Rural,26,36408,Yes,Transfer
300,Female,52,4942525,95,Divorced,Unemployed,6.6,B,Rural,9,41522,No,Transfer
301,Male,68,2824693,88,Divorced,Teacher,1.8,C,Rural,9,30067,No,POS
302,Male,64,4615441,10,Widowed,Engineer,1.5,B,Urban,14,60259,No,Bank App
303,Male,53,4396722,66,Married,Doctor,5.1,A,Suburban,30,36259,Yes,Bank App
304,Female,48,832079,33,Widowed,Business Owner,7.1,A,Suburban,27,32097,No,Transfer
305,Female,42,1720371,87,Divorced,Teacher,2.9,A,Rural,9,52749,No,Bank App
306,Male,58,5421318,2,Divorced,Unemployed,3.6,C,Urban,12,56851,Yes,Transfer
307,Female,30,1139141,4,Divorced,Unemployed,7.2,B,Urban,13,48601,Yes,Transfer
308,Female,35,3541386,23,Single,Engineer,2.5,C,Urban,27,52342,Yes,Bank App
309,Female,38,1866161,41,Married,Engineer,5.5,C,Suburban,10,81101,Yes,Bank App
310,Female,65,1644023,38,Single,Student,5.6,B,Rural,15,70795,No,Bank App
311,Female,18,2971981,87,Divorced,Business Owner,9.2,C,Rural,4,49066,Yes,Bank App
